@RELATION test121 
@ATTRIBUTE XCoordinate	REAL
@ATTRIBUTE YCoordinate 	REAL
@ATTRIBUTE class 	{first,second}
@DATA
69,21,second
64,17,second
55,13,second
64,22,second
61,13,second
64,19,second
68,17,second
51,20,second
59,25,second
55,15,second
54,24,second
53,19,second
56,29,second
55,12,second
51,24,second
59,22,second
66,15,second
66,25,second
63,23,second
68,21,second
61,27,second
51,21,second
57,12,second
62,16,second
58,17,second
54,17,second
59,14,second
62,15,second
55,27,second
59,26,second
59,13,second
59,11,second
59,12,second
60,27,second
69,20,second
68,23,second
51,21,second
57,25,second
62,29,second
54,26,second
66,21,second
57,26,second
61,13,second
55,12,second
57,29,second
56,11,second
56,22,second
63,26,second
61,28,second
56,20,second
62,21,second
57,25,second
58,13,second
66,17,second
53,20,second
59,19,second
65,25,second
57,21,second
58,24,second
56,29,second
62,16,second
59,22,second
58,12,second
60,23,second
64,11,second
62,13,second
58,14,second
57,17,second
60,22,second
62,13,second
63,21,second
68,20,second
63,11,second
64,20,second
56,15,second
58,18,second
61,26,second
55,22,second
53,20,second
64,23,second
63,28,second
58,18,second
52,15,second
63,23,second
60,11,second
64,12,second
61,24,second
60,17,second
62,19,second
55,15,second
69,19,second
64,12,second
51,21,second
69,22,second
51,24,second
62,18,second
55,19,second
60,15,second
63,13,second
57,14,second
53,26,second
58,26,second
58,14,second
57,16,second
55,17,second
57,14,second
65,22,second
51,18,second
62,27,second
59,28,second
52,20,second
69,23,second
52,21,second
64,19,second
52,23,second
64,18,second
66,15,second
61,29,second
65,21,second
58,12,second
67,16,second
58,13,second
60,24,second
51,22,second
69,24,second
68,25,second
58,21,second
67,22,second
58,20,second
57,13,second
68,20,second
67,23,second
52,23,second
60,16,second
66,15,second
67,25,second
63,23,second
53,17,second
57,26,second
64,23,second
66,27,second
67,15,second
69,22,second
64,18,second
62,24,second
61,15,second
55,14,second
60,24,second
55,16,second
64,13,second
67,14,second
54,27,second
54,22,second
51,20,second
61,14,second
62,27,second
67,16,second
54,15,second
58,15,second
64,25,second
55,17,second
63,27,second
57,22,second
61,18,second
53,27,second
65,25,second
67,21,second
65,16,second
52,18,second
61,13,second
52,20,second
54,13,second
52,16,second
56,12,second
56,11,second
62,16,second
59,29,second
51,24,second
61,24,second
54,25,second
53,14,second
51,23,second
53,16,second
58,28,second
52,15,second
68,18,second
56,17,second
61,23,second
52,24,second
55,17,second
53,22,second
68,17,second
57,20,second
59,25,second
59,26,second
63,20,second
61,15,second
58,19,second
60,23,second
62,14,second
54,14,second
60,16,second
54,16,second
64,21,second
58,24,second
67,14,second
58,15,second
54,24,second
64,21,second
61,11,second
58,20,second
53,17,second
67,18,second
57,16,second
64,22,second
62,22,second
63,18,second
67,20,second
56,20,second
59,22,second
65,28,second
59,18,second
59,29,second
62,29,second
60,22,second
57,23,second
57,27,second
56,26,second
68,24,second
51,19,second
65,14,second
68,23,second
64,23,second
56,22,second
60,13,second
58,15,second
66,15,second
55,14,second
60,27,second
57,21,second
57,19,second
69,20,second
63,17,second
63,19,second
59,20,second
61,21,second
57,14,second
60,11,second
61,14,second
66,16,second
69,23,second
57,16,second
59,25,second
66,24,second
55,16,second
63,27,second
64,12,second
58,26,second
54,15,second
55,12,second
58,24,second
57,23,second
63,21,second
64,12,second
53,27,second
66,22,second
57,13,second
64,22,second
54,17,second
62,18,second
59,16,second
59,25,second
57,11,second
62,14,second
68,18,second
59,21,second
53,21,second
52,22,second
52,25,second
57,22,second
54,13,second
56,20,second
62,29,second
56,28,second
61,20,second
68,17,second
64,11,second
65,24,second
61,29,second
64,24,second
53,21,second
55,13,second
52,15,second
63,17,second
69,16,second
55,19,second
59,11,second
65,17,second
65,19,second
64,17,second
64,14,second
67,19,second
62,18,second
62,14,second
66,14,second
63,13,second
54,24,second
54,22,second
56,18,second
51,18,second
58,16,second
56,15,second
61,20,second
63,26,second
63,28,second
62,27,second
53,21,second
60,28,second
61,23,second
56,20,second
55,15,second
63,21,second
54,19,second
60,15,second
65,27,second
64,28,second
57,14,second
64,12,second
62,12,second
64,25,second
58,12,second
55,22,second
68,15,second
55,18,second
65,18,second
55,18,second
63,21,second
69,16,second
52,22,second
60,13,second
54,13,second
66,20,second
69,24,second
57,29,second
61,13,second
60,14,second
55,13,second
56,27,second
51,17,second
54,26,second
64,20,second
61,13,second
67,20,second
63,24,second
54,19,second
66,16,second
69,16,second
68,20,second
57,25,second
65,21,second
52,21,second
56,27,second
58,20,second
69,18,second
55,20,second
52,18,second
54,24,second
52,21,second
51,24,second
60,20,second
67,26,second
60,18,second
57,25,second
64,26,second
64,23,second
53,24,second
52,21,second
52,19,second
64,24,second
64,28,second
55,23,second
55,26,second
54,21,second
54,21,second
65,16,second
63,17,second
55,24,second
65,20,second
57,25,second
62,18,second
54,14,second
57,18,second
65,14,second
56,13,second
65,21,second
69,18,second
56,21,second
56,14,second
65,27,second
59,11,second
53,26,second
60,14,second
52,18,second
59,13,second
55,19,second
60,27,second
52,18,second
58,25,second
51,18,second
58,18,second
58,18,second
60,22,second
51,16,second
56,28,second
58,19,second
51,20,second
67,18,second
64,24,second
55,26,second
69,17,second
66,26,second
56,22,second
61,27,second
59,17,second
53,20,second
62,17,second
68,22,second
58,24,second
60,21,second
66,19,second
58,17,second
54,22,second
67,13,second
52,15,second
62,21,second
59,23,second
62,28,second
67,21,second
69,16,second
65,16,second
51,17,second
58,23,second
65,18,second
52,19,second
53,21,second
60,18,second
54,14,second
60,19,second
55,19,second
64,29,second
69,22,second
53,18,second
59,24,second
61,16,second
55,27,second
67,23,second
59,14,second
61,11,second
61,26,second
60,21,second
61,14,second
63,24,second
57,15,second
58,28,second
62,11,second
52,25,second
62,26,second
60,14,second
68,19,second
51,19,second
59,18,second
60,18,second
57,29,second
61,25,second
51,21,second
54,16,second
54,23,second
68,18,second
67,19,second
66,23,second
68,21,second
65,19,second
59,20,second
68,15,second
61,29,second
65,18,second
52,15,second
57,12,second
55,21,second
63,18,second
68,17,second
62,27,second
59,14,second
57,14,second
60,26,second
54,18,second
58,29,second
53,19,second
59,23,second
56,19,second
58,11,second
55,18,second
60,13,second
53,16,second
63,23,second
58,29,second
63,13,second
59,17,second
65,16,second
56,17,second
69,23,second
67,25,second
69,18,second
69,22,second
59,28,second
52,21,second
62,28,second
56,15,second
63,23,second
55,16,second
59,24,second
53,18,second
58,15,second
58,29,second
62,22,second
62,27,second
53,21,second
63,16,second
69,21,second
69,18,second
52,21,second
58,22,second
57,28,second
65,18,second
58,13,second
62,25,second
57,21,second
66,19,second
59,12,second
65,18,second
69,16,second
68,15,second
60,13,second
67,19,second
62,12,second
69,16,second
54,26,second
67,22,second
67,25,second
61,26,second
63,16,second
58,14,second
52,20,second
67,25,second
55,21,second
61,24,second
58,16,second
51,21,second
63,23,second
60,21,second
58,17,second
67,25,second
60,14,second
60,12,second
55,28,second
66,25,second
67,13,second
54,18,second
67,24,second
58,18,second
56,20,second
69,18,second
68,20,second
62,16,second
68,22,second
65,21,second
57,13,second
57,17,second
60,27,second
54,26,second
57,24,second
56,26,second
52,18,second
54,17,second
58,23,second
60,22,second
53,13,second
52,25,second
55,22,second
61,14,second
60,23,second
59,25,second
54,23,second
55,28,second
62,17,second
53,14,second
58,28,second
53,16,second
61,29,second
65,16,second
64,22,second
53,21,second
53,26,second
54,14,second
58,22,second
60,11,second
53,15,second
63,11,second
53,26,second
65,14,second
69,18,second
53,21,second
65,23,second
55,14,second
65,16,second
67,13,second
61,13,second
56,14,second
60,24,second
64,28,second
53,16,second
64,20,second
69,17,second
51,22,second
55,23,second
62,11,second
65,14,second
52,21,second
55,26,second
61,25,second
61,15,second
63,27,second
56,29,second
53,18,second
60,16,second
56,16,second
65,26,second
65,16,second
63,15,second
55,22,second
67,26,second
53,17,second
59,19,second
56,28,second
57,29,second
55,21,second
60,16,second
53,23,second
52,23,second
56,19,second
59,12,second
55,15,second
52,23,second
51,24,second
53,26,second
69,24,second
52,24,second
61,28,second
60,21,second
54,18,second
56,28,second
53,16,second
56,12,second
59,12,second
66,25,second
55,16,second
59,29,second
57,20,second
56,18,second
60,17,second
60,27,second
67,14,second
52,22,second
62,17,second
55,18,second
60,20,second
67,13,second
63,20,second
63,21,second
56,21,second
57,27,second
59,25,second
56,25,second
65,22,second
52,21,second
63,23,second
57,24,second
60,16,second
51,19,second
67,27,second
57,17,second
51,20,second
65,24,second
62,17,second
54,20,second
54,21,second
58,13,second
61,12,second
67,21,second
68,17,second
83,15,first
87,21,first
87,29,first
84,23,first
90,29,first
98,16,first
92,27,first
81,17,first
82,20,first
88,19,first
84,26,first
91,21,first
92,17,first
89,24,first
86,15,first
93,12,first
83,23,first
87,25,first
82,18,first
92,29,first
85,22,first
91,11,first
96,27,first
92,29,first
94,19,first
96,15,first
83,18,first
81,19,first
81,16,first
87,17,first
91,14,first
86,14,first
95,19,first
97,15,first
82,22,first
86,16,first
88,12,first
84,20,first
84,16,first
85,23,first
85,15,first
98,17,first
86,29,first
86,14,first
88,17,first
82,16,first
95,12,first
88,22,first
94,25,first
95,28,first
90,23,first
93,12,first
88,17,first
91,12,first
95,13,first
89,29,first
90,29,first
88,17,first
86,20,first
90,24,first
85,15,first
94,28,first
88,21,first
88,15,first
86,12,first
83,13,first
91,29,first
89,13,first
89,18,first
84,20,first
89,21,first
92,17,first
92,27,first
84,18,first
91,18,first
96,25,first
91,17,first
95,18,first
85,12,first
97,24,first
83,23,first
86,28,first
96,26,first
85,13,first
89,26,first
89,16,first
92,13,first
83,19,first
95,12,first
83,22,first
98,16,first
91,27,first
82,24,first
89,14,first
83,13,first
88,17,first
81,18,first
97,26,first
85,15,first
